Row number,original text,Chemical ,chemical details,Chemical Name,Recipe,CAS Number ,Supplier,Product # (link to item),lot #,container #,amount, location,"est amount remaining 
(June 30, 2023)",pdfs of SDS (as of Jan 2025) (SDS must be updated every 3 years) ,UN Number,Class,Packing Group,GHS Flammable liquid category,Supplier SDS link (SDS should update as suppliers update),est amount remaining (Jun 2024),Expiry Date,date consumed,COA or other notes
4,"1-Butanol, 99.9%",1-butanol,99.9%,1-butanol,99.9%,71-36-3,Sigma Aldrich,537993-4L,SHBQ6710,,4 L,,"received after June 30, 2023","1-Butanol, 99.9%_Sigma Aldrich_SDS_revised Oct 2023",UN1120,3,III,3,Sigma_537933_1-Butanol,,,,
5,"1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide, 99%",1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,99%,1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,99%,223437-11-4,io-li-tec (Ionic Liquid Technologies),IoLiLyt 0035 (IL-0035),W001x82.1-IL-0035,,10 g,glovebox,"recieved after June 30, 2023","1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide, 99%, 99%_Io-li-tec_SDS_revised Sept 2022",Not dangerous goods,n/a,n/a,n/a,"io-li-tec_IL-0035_1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide, 99%",,,,"1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide COA Oct 24, 2023"
6,"1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99%",1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,99%,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,99%,174899-83-3,io-li-tec (Ionic Liquid Technologies),IoLiLyt 0029 (IL-0029),W006x106.2.2-IL-0029,,10 g,glovebox,"recieved after June 30, 2023","1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99%_Io-li-tec_SDS_revised Sept 2022",Not dangerous goods,n/a,n/a,n/a,"io-li-tec_IL-0029_1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99%",,,,"1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, COA Oct 24, 2023_Arrived Broken"
7,"1-butyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide, 98%",1-butyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide,98%,1-butyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide,98%,758716-72-2,io-li-tec (Ionic Liquid Technologies),IoLiLyt 0293 (IL-0293),V001x99.7-IL-0293,,10 g,glovebox,"recieved after June 30, 2023","1-butyl-3-vinylimidazolium bis(trifluoromrthyldulfonyl)imide, 98%__Io-li-tec_SDS_revised Sept 2022",Not dangerous goods,n/a,n/a,n/a,"io-li-tec_IL-0293_1-butyl-3-vinylimidazolium bis(trifluoromrthyldulfonyl)imide, 98%",,,,"1-butyl-3-vinylimidazolium bis(trifluoromrthyldulfonyl)imide, COA Oct 24, 2023"
8,"1-Dimethylamino-2-propanol, 99%",1-dimethylamino-2-propanol,99%,1-dimethylamino-2-propanol,99%,108-16-7,ThermoFisher,B24234,10202867,,250 g,FC 2,65%,1-Dimethylamino-2-propanol_ThermoFisher_SDS_Revised March 2024,UN2734,8 (3),II,3,Thermo_B24234_1-Dimethylamino-2-propanol,,,,
9,"1-Dimethylamino-2-propanol, 99+%",1-dimethylamino-2-propanol,99+%,1-dimethylamino-2-propanol,99%,108-16-7,Millipore Sigma,471526,MKCK9089,,250mL,glovebox,"recieved after June 30, 2024",1-Dimethylamino-2-propanol_Sigma_SDS_Revised Aug 2023,UN2734,8 (3),II,3,Sigma_471526_1-Dimethylamino-2-propanol,,,,"1-dimethylamino-2-propanol_Sigma_471526_ lot MKCK9089_CoA_April 11, 2025"
10,"1-dodecanthiol, >98%",1-dodecanthiol,>98%,1-dodecanthiol,98%,112-55-0,Sigma Aldrich,471364-100mL,STBK6966,,100 mL,glovebox,"recieved after June 30, 2023","1-dodecanthiol, >98%_Sigma_SDS_revised Aug 2024",UN1760,8,III,n/a,"Sigma_471364_1-dodecanthiol, >98%",,,,
11,1-ethyl-3-methylimidazolium Bis(trifluoromethanesulfonyl)imide,1-ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,,1-ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,,174899-82-2,TCI (via Fisher),E0599,TQ3GN-OG,,5 g,glovebox,10%,1-ethyl-3-methylimidazolium Bis(trufluoromethanesulfonyl)imide_TCI_Revised Apr 2024,Not dangerous goods,n/a,n/a,n/a,TCI_E0599_1-ethyl-3-methylimidazolium Bis(trufluoromethanesulfonyl)imide,,,,
12,"1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99%",1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,99%,1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,99%,174899-82-2,io-li-tec (Ionic Liquid Technologies),IoLiLyt 0023 (IL-0023),X003x98.1-IL-0023,,10 g,glovebox,"recieved after June 30, 2023","1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99%_Io-li-tec_SDS_revised Sept 2022",Not dangerous goods,n/a,n/a,n/a,"io-li-tec_IL-0023_1-ethyl-3-methylimidazolium bi(trifluoromethylsulfonyl)imide, 99%",,,,"1-ethyl-3-methylimidazolium bi(trifluoromethylsulfonyl)imide COA Oct24, 2023"
13,"1-ethyl-3-methylimidazolium tetrafluoroborate, may  contain up to 3% H2O",1-ethyl-3-methylimidazolium tetrafluoroborate,may  contain up to 3% H2O,1-ethyl-3-methylimidazolium tetrafluoroborate,,143314-16-3,ThermoFisher,L19763,10187209,,10 g,FC1,10%,1-ethyl-3-methylimidazolium tetrafluoroborate_ThermoFisher_SDS_Revised Mar 2024,Not dangerous goods,n/a,n/a,n/a,Thermo_L19763_1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
14,"1-ethyl-3-methylimidazolium tetrafluoroborate, may  contain up to 3% H2O",1-ethyl-3-methylimidazolium tetrafluoroborate,may  contain up to 3% H2O,1-ethyl-3-methylimidazolium tetrafluoroborate,,143314-16-3,ThermoFisher,L19763,10209864,,50 g,"glovebox, in vial on sieves",20% of original + vial,1-ethyl-3-methylimidazolium tetrafluoroborate_ThermoFisher_SDS_Revised Mar 2024,Not dangerous goods,n/a,n/a,n/a,Thermo_L19763_1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
15,"1-Heptanol, 98% (heptanol, Heptyl alcohol)",1-heptanol,"98% (heptanol, Heptyl alcohol)",1-heptanol,98%,111-70-6,Millipore Sigma,H2805-250mL,STBK5812,1,250 mL,FC2,"received after June 30, 2024",1-heptanol_Sigma_SDS_revised June 2024,Not dangerous goods,n/a,n/a,4,"Sigma_H2805_1-heptanol , 98%",,"Feb 21, 2029",,
16,"1-Hydroxycyclohexyl phenyl ketone, 99%",1-hydroxycyclohexyl phenyl ketone,99%,1-hydroxycyclohexyl phenyl ketone,99%,947-19-3,Sigma Aldrich,405612-50g,MKCJ0045,,50 g,glovebox,60%,"1-Hydroxycyclohexyl phenyl ketone, 99%_Sigma_SDS_revised April 2022",Not dangerous goods,n/a,n/a,n/a,"Sigma_405612_1-Hydroxycyclohexyl phenyl ketone, 99%",,,,
17,"1-n-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl) imide, 98%",1-n-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl) imide,98%,1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,98%,223437-11-4,ThermoFisher,H27177,10228820,,50 g,"glovebox in vials (2), filtered",90% of 2 vials,"1-n-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl) imide, 98%_Thermo_SDS_Revised March 2024",Not dangerous goods,n/a,n/a,n/a,"Thermo_H27177_1-n-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl) imide, 98%",,,,
18,"1-n-Butyl-3-methylimidazolium tetrafluoroborate, 98+%",1-n-butyl-3-methylimidazolium tetrafluoroborate,98+%,1-N-butyl-3-methylimidazolium tetrafluoroborate,98%,174501-65-6,ThermoFisher,L19087.09,10223620,,10 g,glovebox,80%,1-n-butyl-3-methylimidazolium tetrafluoroborate_ThermoFisher_SDS_revised Feb 2020,UN2810,6.1,III,n/a,ThermoFisher_L19087.09_1-n-butyl-3-methylimidazolium tetrafluoroborate,,,,
19,"1-n-butyl-4-methylpyridinium tetrafluoroborate, 99%",1-n-butyl-4-methylpyridinium tetrafluoroborate,99%,1-n-butyl-4-methylpyridinium tetrafluoroborate,99%,343952-33-0,ThermoFisher,H27100.06,10202064,,5 g,glovebox,40%,"1-n-butyl-4-methylpyridium tetrafluoroborate, 99%_ThermoFisher_SDS_Revised Feb 2020",Not dangerous goods,n/a,n/a,n/a,ThermoFisher_H27100_1-n-butyl-4-methylpyridium tetrafluoroborate,,,,
20,"1-pentanol (aka Amyl Alcohol, Pentyl Alcohol)",1-pentanol,"(aka Amyl Alcohol, Pentyl Alcohol)",1-pentanol,,71-41-0,TCI America,P0055-500mL,RLBKN-UW,1,500 g,FC2,"recieved after June 30, 2023",1-pentanol_TCI America_SDS_revised June 2018 (received May 2024),UN1105,3,III,3,TCI_P0055_1-pentanol,,,,
