Row number,CIID,Chemical Name,Recipe,CAS Number ,Supplier,Product # (link to item),lot #,container #,amount,"amount, kg",unit, location,"est amount remaining 
(June 30, 2023)",pdfs of SDS (as of Jan 2025) (SDS must be updated every 3 years) ,UN Number,Class,Packing Group,GHS Flammable liquid category,Supplier SDS link (SDS should update as suppliers update),est amount remaining (Jun 2024),Expiry Date,date consumed,COA or other notes,,State (based on CoA SDS info (section 3 or 9) if available)),colour (based on CoA or SDS info (section 9) if available)),MolecularWeight,density,,TOXIC ORAL,TOXIC DERMAL,TOXIC INHALATION,SKIN CORROSION / IRRITATION,SERIOUS EYE DAMAGE/EYE IRRITATION,RESPIRATORY SENSITIZATION,SKIN SENSITIZATION,GERM CELL MUTAGENICITY,CARCINOGENICITY,REPRODUCTIVE TOXICITY,SPECIFIC TARGET ORGAN TOXICITY SINGLE EXPOSURE,SPECIFIC TARGET ORGAN TOXICITY REPEATED EXPOSURE,ASPIRATION HAZARD,Health hazard not otherwise classified,FLAMMABLE LIQUIDS,FLAMMABLE SOLIDS,Self-reactive substances and mixtures,CORROSIVE TO METALS,SELF-HEATING SUBSTANCES AND MIXTURE,OXIDIZING  LIQUIDS,OXIDIZING SOLIDS,COMBUSTIBLE DUSTS,Fire or projection hazard,Physical Hazards Not Otherwise Classified,Short-term (acute) aquatic hazard ,Long-term (chronic) aquatic hazard 
922,1,sulfolane,"anhydrous, supergrade",126-33-0,Itochu Chemical Frontier Corporation (via Sumitomo Seika Chemicals Co Ltd),"Sulfolane, Anhydrous (SG)",2410250,1,1 kg,1,kg,glovebox,"recieved after June 30, 2024",Sulfolane Anhydrous_Sumitomo Seika Chemicals_SDS_revised April 2023,Not dangerous goods,n/a,n/a,,,,,,,,liquid ,colourless,120.18,1.26,,4,,,2,1,,,,,,3,,,,3,,,,,,,,,,,
359,5,ethanol,"anhydrous, methanol, ethyl acetate",64-17-5,VWR (Anachemica),38332-549 (CA71007-222),21I0761035,,4 L ,3.158,kg,FC 3 (under fumehood),85%,"ethyl alcohol (ethanol), anhydrous, denatured_Anachemia (VWR)_SDS_revised Aug 2020",UN1987,3,II,,"VWR (Anachemia)_38332_Ethyl alcohol, anhydrous, denatured",,"Aug 10, 2025",,,,liquid,colourless,46.07,0.7895,,,,,2,2,,,,,,3,,,,,,,,,,,,,,,
174,6,1-butanol,"anhydrous, 99.8%",71-36-3,Millipore Sigma,281549-1L,SHBR6340,4,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_Sigma_SDS_Dec 2024,UN1120,3,III,3,"Sigma_281549_butanol (1-butanol), 99.8%",,,,,,liquid,colourless,74.12,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,9,ethanol,"anhydrous, methanol, 2-propanol","64-17-5 (also contains 67-56-1
, 67-63-0)",Sigma Aldrich,277649,SHBR4004,1, 2L,1.57,kg,FC4 until glovebox,"recieved after June 30, 2024","ethanol (reagent alcohol), anhydrous_Sigma_SDS_revised July 2024",UN1170,3,II,2,"Sigma_277649_Reagent Alcohol (Ethanol), anhydrous",,,,,,liquid,colourless,46.07,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,10,1-butanol,"anhydrous, 99.8%",71-36-3,Millipore Sigma,281549-1L,SHBR4052,2,1 L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_Sigma_SDS_Dec 2024,UN1120,3,III,3,"Sigma_281549_butanol (1-butanol), 99.8%",,,,,,liquid,colourless,74.12,0.81,,4,4,,1B,1,,,,,,3,,,,3,,,,,,,,,,,
810,13,proplyene carbonate,ultrapure,108-32-7,Huntsman International LLC,252730,H-2024-1562-M02,,0.95 kg,0.95,kg,glovebox,"received after June 30, 2023","Propylene Carbonate- EV, Ultrapure_Huntsman_SDS_revised Dec 2024",Not dangerous goods,n/a,n/a,n/a,available via Huntsman’s online service portal - don't currently have access,,,,Ultrapure PC-EV from Huntsman CoA Oct 2024,,liquid,colourless,102.09,1.2,,4,,,1B,1,,,,,,,,,,3,,,,,,,,,,3,
271,14,dimethyl carbonate,"anhydrous, 99%",616-38-6,Sigma Aldrich,517127 - 100mL,SHBQ0916,,100mL,0.1069,kg,glovebox,"Recieved after June 30, 2023","dimethyl carbonate, 99%, anhydrous_Sigma_SDS_revised Aug 2022",UN1161 ,3,II,2,"Sigma_517127_dimethyl carbonate, 99%, anhydrous",,,,,,liquid,colourless,90.08,1.069,,4,,,1B,1,,,,,,,,,,3,,,,,,,,,,3,
495,15,lithium bis(trifluoromethaneslfonyl)imide,99.99%,90076-65-6,GELON (CHINA),,SN240308010314,1,1 kg ,1,kg,FC1,"recieved after June 30, 2023","Lithium Bis(trifluoromethylsulfonyl)imide_99.99%_GELON, China_SDS_revised Sept 2024 (Sigma SDS)",UN2923,8 (6.1),II,n/a,Sigma_919977_Lithium Bis(trifluoromethylsulfonyl)imide,,,,COA,,solid (powder),white,287.08,2.15,,4,,,1B,1,,,,,,,,,,3,,,,,,,,,,3,
453,16,lactose standard 5%,KF reference standard,10039-26-6,Millipore Sigma (Supelco),1.12939,HC44922139,1,10 g,0.01,kg,glovebox,"received after June 30, 2024",Lactose standard 5% Certified Material for Karl Fischer Titration Aquastar_Sigma_SDS_revised Aug 2024,Not dangerous goods,n/a,n/a,,Sigma_1.12939_Lactose standard 5% Certified Material for karl Fischer Titration Aquastar,,2026/09/30,,,,solid,white,360.32,,,,,,1C,1,,1A,,,,,,,,,,,,,,,,,,1,1
923,17,sulfolane,"anhydrous, supergrade",126-33-0,Itochu Chemical Frontier Corporation (via Sumitomo Seika Chemicals Co Ltd),"Sulfolane, Anhydrous (SG)",2412200,1,20 kg,20,kg,buildbox glovebox,"recieved after June 30, 2024",Sulfolane Anhydrous_Sumitomo Seika Chemicals_SDS_revised April 2023,Not dangerous goods,n/a,n/a,,,,,,,,liquid ,colourless,120.18,1.26,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
925,19,sulfolane,99%,126-33-0,Sigma Aldrich,T22209-500G,MKCS5747,,500 g,0.5,kg,FC2 (move to glovebox once needed),100%,Sulfolane_Sigma_SDS_revised Oct 2023,Not dangerous goods,n/a,n/a,,"Sigma_T22209_Sulfolane, 99%",,,,,,liquid ,colourless,120.18,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
