FileRowNum,Type,Status,DatabaseID,ErrorMsg,ProcessedAt
1,Create new chemical,success,d9263457-8b61-4ffc-ac9a-83da932691a7,,2025-05-14T16:11:40-07:00
2,Create new chemical,success,b2aae1a6-54f1-4d26-ad16-14c35221e489,,2025-05-14T16:11:40-07:00
3,Create new chemical,success,052c6c9b-efed-425d-b536-55d9bcff0df1,,2025-05-14T16:11:40-07:00
4,Create new chemical,success,6b534a9d-1c1a-4643-abb6-1960bbf8dd3b,,2025-05-14T16:11:40-07:00
5,Create new chemical,success,6eda3da2-e7bd-47ce-8d21-326b9a0873e6,,2025-05-14T16:11:40-07:00
6,Check if chemical already exists,success,6eda3da2-e7bd-47ce-8d21-326b9a0873e6,,2025-05-14T16:11:40-07:00
7,Create new chemical,success,c9db7273-7eb3-4b50-adef-dce1f2aa1b4a,,2025-05-14T16:11:40-07:00
8,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:40-07:00
9,Create new chemical,success,6eeae0d3-b384-45ad-a621-706d1b81f7b0,,2025-05-14T16:11:40-07:00
10,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:40-07:00
11,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:40-07:00
12,Create new chemical,success,186c4b03-f59a-4309-b4f0-add38a11ec36,,2025-05-14T16:11:40-07:00
13,Create new chemical,success,08f5767d-9330-4793-828a-e7e59dfa388b,,2025-05-14T16:11:41-07:00
14,Create new chemical,cannot create new chemical,,"failed to create new chemical, status code: 500, response: chemical with name 1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide already exists
",2025-05-14T16:11:41-07:00
15,Create new chemical,success,12331d53-b044-4b5e-9825-8dd798cda1f7,,2025-05-14T16:11:41-07:00
16,Create new chemical,success,948282ee-eb93-4680-9420-7803c9f6a971,,2025-05-14T16:11:41-07:00
17,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:41-07:00
18,Create new chemical,success,013353d0-eb86-4e68-9f7b-835ead2ef7a7,,2025-05-14T16:11:41-07:00
19,Check if chemical already exists,success,013353d0-eb86-4e68-9f7b-835ead2ef7a7,,2025-05-14T16:11:41-07:00
20,Create new chemical,success,dd27b436-65fe-4ee9-bf15-65bf0a1903cd,,2025-05-14T16:11:41-07:00
21,Check if chemical already exists,success,dd27b436-65fe-4ee9-bf15-65bf0a1903cd,,2025-05-14T16:11:41-07:00
22,Create new chemical,success,6df26cf5-5e86-4843-b4fa-f4d76d773489,,2025-05-14T16:11:41-07:00
23,Create new chemical,success,b1c6199c-2418-49a4-8809-20596d01facb,,2025-05-14T16:11:41-07:00
24,Create new chemical,cannot create new chemical,,"failed to create new chemical, status code: 500, response: chemical with name 1,2-dimethoxyethane already exists
",2025-05-14T16:11:41-07:00
25,Create new chemical,success,85994365-48f3-4f5b-8860-3e617454e0ef,,2025-05-14T16:11:41-07:00
26,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:41-07:00
27,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:41-07:00
28,Create new chemical,success,ca958906-2e91-445c-b2ab-cee968175e69,,2025-05-14T16:11:42-07:00
29,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
30,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
31,Create new chemical,success,c4948dff-d8a4-457e-a8c9-3646d2d27c4c,,2025-05-14T16:11:42-07:00
32,Create new chemical,success,96ccf532-f626-44f2-80c3-2db62f6076d1,,2025-05-14T16:11:42-07:00
33,Create new chemical,success,d9665cdf-ae45-43fc-a500-d5b8350111bf,,2025-05-14T16:11:42-07:00
34,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
35,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
36,Create new chemical,success,f813735c-fed3-4d4d-9226-0ef8de6fc2c5,,2025-05-14T16:11:42-07:00
37,Create new chemical,success,e42c8909-8d2c-4214-96a5-34ac40b924c6,,2025-05-14T16:11:42-07:00
38,Create new chemical,success,14cdb366-54e8-4055-a2f0-8ba1060c725b,,2025-05-14T16:11:42-07:00
39,Check if chemical already exists,success,14cdb366-54e8-4055-a2f0-8ba1060c725b,,2025-05-14T16:11:42-07:00
40,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
41,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
42,Create new chemical,success,8d241261-7e1e-48be-88ee-53ab8bf0d58c,,2025-05-14T16:11:42-07:00
43,Create new chemical,success,f543a854-f1e1-4640-aa93-62c13e8a580e,,2025-05-14T16:11:42-07:00
44,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
45,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
46,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
47,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
48,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
49,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
50,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
51,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
52,Create new chemical,success,91e4f483-3252-4da9-9698-a4f82ab68f0f,,2025-05-14T16:11:42-07:00
53,Create new chemical,success,2e9c1d7c-5937-4da4-83f9-b67b69f26456,,2025-05-14T16:11:42-07:00
54,Validate row,missing required fields,,missing recipe title,2025-05-14T16:11:42-07:00
